Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,14653.0,17908.0,15045.0,2863.0,0.0,84.01273174000447,15.987268259995533,0.0,0.5532149028951437,0.1902190483762676,0.35559675049139644,52.0205079577257,83.1686986901608,14260.952660025343,618319.0495336913,-604058.0968736659,0.7963453573835907,34.52753236172053,-33.73118700433694,6184.1162994430915,0.34532702141183225,776421.3430408284,0.9046042953809944,12299.0,0.3631725417439703,1566.0,0.6368274582560297,2746.0,0.0953957046190056,1297.0,0.887053732419762,0.9046042953809944,0.8957430537853684,0.5537029902438396,0.8394778817408373,0.915047596296541,0.8401273174000446,0.29869556376302053,0.7013044362369794,0.15987268259995532,0.8370050800415724,0.8401273174000446,0.8383366970424563,0.5537029902438396,0.8394794239799026,0.8557714505097163,0.7765369966712599,0.8401273174000446,0.356,0.017,0.3588023,0.015600099999999999,358.8023,15.6001,774162.0,2188179.0,2673174.0,94.4996649542104,68.32142059414787,'Number of leaves: 3803\nSize of the tree: 4428\n',4428.0,3803.0,3803.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,13025.0,19536.0,16353.0,3183.0,0.0,83.70700245700246,16.292997542997544,0.0,0.5416953664032128,0.19042691134545653,0.36150086432410056,52.07654924775593,84.54958110186529,15557.40305740076,752364.4262268356,-736807.0231694349,0.7963453653460667,38.51169257917873,-37.71534721383266,6686.453493685846,0.3422631804712247,839471.2116764277,0.905542071197411,13431.0,0.3788265306122449,1782.0,0.6211734693877551,2922.0,0.09445792880258899,1401.0,0.8828633405639913,0.905542071197411,0.8940589116325511,0.5425123096484887,0.8340463288032312,0.9127453898647975,0.8370700245700246,0.3103544839848585,0.6896455160151415,0.16292997542997542,0.833034111224269,0.8370700245700246,0.8346647109585454,0.5425123096484887,0.8340462287196966,0.8506195124192062,0.7707250357431616,0.8370700245700246,0.344,0.019,0.3432022,0.015600099999999999,343.2022,15.6001,736382.0,1945607.0,2915746.0,93.70904995904996,67.23740786240786,'Number of leaves: 3615\nSize of the tree: 4210\n',4210.0,3615.0,3615.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,11397.0,21164.0,17730.0,3434.0,0.0,83.77433377433377,16.225666225666227,0.0,0.5448672609022429,0.18947031937697253,0.3593104785854284,51.81391855655747,84.03728235092208,16853.85355794578,742490.2436440767,-725636.3900861309,0.796345376958315,35.08269909488172,-34.286353717923404,7350.535666943526,0.34731315757623915,922818.561803256,0.9047174508339557,14537.0,0.37343014128728413,1903.0,0.6265698587127159,3193.0,0.09528254916604431,1531.0,0.8842457420924574,0.9047174508339557,0.8943644641319061,0.5455307210446279,0.8337014582646984,0.9121253954193786,0.8377433377433378,0.3064560281966662,0.6935439718033338,0.16225666225666224,0.8340814210587754,0.8377433377433378,0.8355984233832006,0.5455307210446279,0.8337003893455937,0.8504104498533918,0.7723349815567881,0.8377433377433378,0.272,0.018,0.2808018,0.015600099999999999,280.8018,15.6001,663958.0,1703035.0,3158318.0,93.97089397089397,67.17775467775468,'Number of leaves: 3270\nSize of the tree: 3794\n',3794.0,3270.0,3270.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,9769.0,22792.0,19136.0,3656.0,0.0,83.95928395928397,16.040716040716042,0.0,0.5513894039295847,0.18868426759078968,0.3555430549939796,51.59759307894241,83.15613796586167,18150.3042393531,681351.529288137,-663201.2250487839,0.7963453948470121,29.89432824184525,-29.097982846998242,7992.553376250996,0.3506736300566425,1003381.3356476728,0.9045885344429033,15653.0,0.36534256559766765,2005.0,0.6346574344023324,3483.0,0.09541146555709662,1651.0,0.8864537320194813,0.9045885344429033,0.8954293232652595,0.5519103307732793,0.8477226328043601,0.9239485086180504,0.8395928395928396,0.30034687074760386,0.6996531292523961,0.1604071604071604,0.836361683395132,0.8395928395928396,0.8377319739159392,0.5519103307732793,0.8477224096765363,0.8585507403412316,0.7756190110960077,0.8395928395928396,0.22,0.017,0.2028013,0.015600099999999999,202.8013,15.6001,547296.0,1460463.0,3400890.0,94.32256932256932,67.53904878904879,'Number of leaves: 2707\nSize of the tree: 3123\n',3123.0,2707.0,2707.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,8141.0,24420.0,20416.0,4004.0,0.0,83.6036036036036,16.396396396396398,0.0,0.5390139775711636,0.19172577209650785,0.3612675823936417,52.42737976099986,84.49501652261333,19446.755266485645,842943.1173998943,-823496.3621334087,0.7963454245080117,34.518555176080845,-33.722209751572834,8354.028870865493,0.3420978243597663,1048703.8152510407,0.904638619201726,16772.0,0.3802721088435374,2236.0,0.6197278911564625,3644.0,0.095361380798274,1768.0,0.8823653198653199,0.904638619201726,0.8933631618195376,0.5397981219128078,0.8359161795786275,0.9142551603146376,0.836036036036036,0.31166952567784745,0.6883304743221526,0.16396396396396395,0.8320297343301777,0.836036036036036,0.8336600977729579,0.5397981219128078,0.8359169946037144,0.8501773593993507,0.769387921681997,0.836036036036036,0.148,0.02,0.1404009,0.015600099999999999,140.4009,15.6001,505462.0,1217891.0,3643462.0,94.18099918099918,67.66994266994267,'Number of leaves: 2502\nSize of the tree: 2882\n',2882.0,2502.0,2502.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,6513.0,26048.0,21789.0,4259.0,0.0,83.64941646191646,16.350583538083537,0.0,0.5375642833914152,0.1916023953563278,0.3632149886714709,52.390730457522444,84.95048214386831,20743.207039438308,1073032.9229555624,-1052289.715916124,0.7963454790939154,41.19444575228664,-40.39810027319272,8848.960104319127,0.3397174487223252,1110743.3745530723,0.9076152912621359,17949.0,0.3877551020408163,2432.0,0.6122448979591837,3840.0,0.09238470873786407,1827.0,0.8806731759972524,0.9076152912621359,0.8939412804741391,0.5387278920608417,0.8283790732995261,0.9101650133849136,0.8364941646191646,0.31663397539784505,0.6833660246021551,0.16350583538083538,0.8317776829033109,0.8364941646191646,0.8335830744866362,0.5387278920608417,0.8283832829553495,0.84285284448312,0.7686056180409058,0.8364941646191646,0.096,0.02,0.0936006,0.031200199999999997,93.6006,31.2002,410212.0,975319.0,3886034.0,93.59259828009829,66.25652641277641,'Number of leaves: 2033\nSize of the tree: 2333\n',2333.0,2033.0,2033.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,4885.0,27676.0,23033.0,4643.0,0.0,83.22373175314351,16.776268246856482,0.0,0.5289143996759215,0.19124339975191573,0.3672903375361979,52.287726368847,85.90363746752612,22039.660741595515,1175151.2159282868,-1153111.5551866912,0.7963455969647173,42.461020954194495,-41.664675357229775,9453.31890089142,0.34157099656349976,1186442.9741398469,0.9015800494955264,18944.0,0.3864045618247299,2575.0,0.6135954381752701,4089.0,0.09841995050447364,2068.0,0.8803383056833496,0.9015800494955264,0.8908325691848299,0.5296155910519272,0.8336263545966645,0.913495955493312,0.8322373175314352,0.3170618298606387,0.6829381701393613,0.16776268246856482,0.8282764273262995,0.8322373175314352,0.8299201977601013,0.5296155910519272,0.8336187969224792,0.8481241220454923,0.7643461652569497,0.8322373175314352,0.073,0.021,0.062400399999999995,0.031200199999999997,62.4004,31.2002,332726.0,732747.0,4128606.0,93.463650816592,66.17466396878162,'Number of leaves: 1616\nSize of the tree: 1882\n',1882.0,1616.0,1616.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,3256.0,29305.0,24304.0,5001.0,0.0,82.93465278962634,17.065347210373655,0.0,0.5231044797019166,0.193268582695894,0.3721317271455564,52.847154708315166,87.03278012589743,23338.159623050644,1467225.6080169098,-1443887.4483938592,0.7963883167736101,50.067415390442235,-49.27102707366863,9764.890071031006,0.33321583589936893,1225807.3682558315,0.8975188781014024,19968.0,0.3855746067734165,2721.0,0.6144253932265835,4336.0,0.10248112189859762,2280.0,0.88007404469126,0.8975188781014024,0.8887108618732892,0.5235676544889606,0.8269460398164288,0.9146277312440323,0.8293465278962634,0.3174022565682776,0.6825977434317224,0.17065347210373658,0.8259652046032475,0.8293465278962634,0.8274318294918263,0.5235676544889606,0.8269500368860216,0.8492175887283577,0.7614767649525884,0.8293465278962634,0.04,0.022,0.031200199999999997,0.015600099999999999,31.2002,15.6001,227592.0,490026.0,4371327.0,92.8408121480976,66.25319911277938,'Number of leaves: 1090\nSize of the tree: 1275\n',1275.0,1090.0,1090.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,1628.0,30933.0,25585.0,5348.0,0.0,82.71102059289431,17.28897940710568,0.0,0.5162526947990052,0.19707868833658346,0.37920883393816257,53.87695292055175,88.68810230934642,24634.618277271642,1633774.710900824,-1609140.0926235523,0.7963863277817103,52.81656195328045,-52.02017562549873,10053.321546347477,0.32500312114400404,1261598.2556486297,0.8966104581842957,21056.0,0.39199892603033964,2920.0,0.6080010739696604,4529.0,0.10338954181570431,2428.0,0.8782115448782115,0.8966104581842957,0.8873156342182891,0.5167646860652425,0.825658127684081,0.9162232451888335,0.8271102059289432,0.3224986737749872,0.6775013262250129,0.1728897940710568,0.8234963121869509,0.8271102059289432,0.8250540438632513,0.5167646860652425,0.8256579673108746,0.8435441015227647,0.7580407131246936,0.8271102059289432,0.014,0.022,0.015600099999999999,0.031200199999999997,15.6001,31.2002,110660.0,247454.0,4613899.0,91.63999612064785,64.84983674393042,'Number of leaves: 514\nSize of the tree: 601\n',601.0,514.0,514.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,0.0,32561.0,0.0,0.0,32561.0,0.0,0.0,100.0,1.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7591904425539756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.025,0.0,0.031200199999999997,0.0,31.2002,6331.0,4728.0,4856471.0,0.0,0.0,'Number of leaves: 1\nSize of the tree: 1\n',1.0,1.0,1.0
